filename,artist,title,style,genre,date
41541.jpg,82665201c4108381d854740ddcb86e67,Open Door on a Garden,Art Nouveau (Modern),interior,1934
71560.jpg,b5585b3588ad36b108f43145a63c488f,The Life of St. Ignatius Loyola. Plate 2. Ignatius writes the Spiritual Exercises in the cave at Manresa.,Art Nouveau (Modern),history painting,
42784.jpg,b5585b3588ad36b108f43145a63c488f,"The Life of St. Ignatius Loyola. Plate 9. After their solemn vows at the Basilica of St-Paul-Outside-The-Walls in Rome, the companions set off to help souls with unbounded joy.",Art Nouveau (Modern),history painting,
5569.jpg,b5585b3588ad36b108f43145a63c488f,The Life of St. Ignatius Loyola. Plate 7. Pope Paul III approves the Society of Jesus 27th September 1540 Regimini Militantes.,Art Nouveau (Modern),history painting,
59919.jpg,b5585b3588ad36b108f43145a63c488f,"The Life of St. Ignatius Loyola. Plate 8. Before saying Mass, Ignatius is overcome with tears.",Art Nouveau (Modern),history painting,
10709.jpg,b5585b3588ad36b108f43145a63c488f,The Life of St. Ignatius Loyola. Plate 1. Ignatius recovers from his wounds at Loyola.,Art Nouveau (Modern),history painting,
97081.jpg,b5585b3588ad36b108f43145a63c488f,The Life of St. Ignatius Loyola. Plate 6.  The vision at La Storta (outside Rome) I will be favourable to you in Rome.,Art Nouveau (Modern),history painting,
73181.jpg,b5585b3588ad36b108f43145a63c488f,The Life of St. Ignatius Loyola. Plate 10. The Death of St. Ignatius 31st July 1556.,Art Nouveau (Modern),history painting,
96174.jpg,74a1dad53214d04514269a188f16683a,The Reaper,Art Nouveau (Modern),genre painting,1910
21113.jpg,46200eee40e22039aef7a5944bb445c9,Mermaid. Illustration for Jugendschatz German seals.,Art Nouveau (Modern),illustration,c.1896
88434.jpg,74a1dad53214d04514269a188f16683a,Portrait of James Vibert,Art Nouveau (Modern),portrait,1915
51415.jpg,46200eee40e22039aef7a5944bb445c9,"Girl's Head. Cover design Ver Sacrum, 204, 1899.",Art Nouveau (Modern),design,1899
15569.jpg,46200eee40e22039aef7a5944bb445c9,Happy editing. Illustration with self-portrait.,Art Nouveau (Modern),illustration,c.1895
100478.jpg,46200eee40e22039aef7a5944bb445c9,Cover design of the first publication of the Association of Austrian Artists Secession,Art Nouveau (Modern),design,1897
92409.jpg,46200eee40e22039aef7a5944bb445c9,Girl in Landscape,Art Nouveau (Modern),portrait,1898
79131.jpg,74a1dad53214d04514269a188f16683a,Portrait of Georges Navazza,Art Nouveau (Modern),portrait,1916
61952.jpg,46200eee40e22039aef7a5944bb445c9,Serpentine dancer. Poster design for Lois Fuller.,Art Nouveau (Modern),poster,c.1902
53800.jpg,74a1dad53214d04514269a188f16683a,Portrait of Willy Russ,Art Nouveau (Modern),portrait,1911
11057.jpg,46200eee40e22039aef7a5944bb445c9,Pine forest in winter,Art Nouveau (Modern),landscape,c.1907
89941.jpg,74a1dad53214d04514269a188f16683a,The Lake Geneva from Lausanne,Art Nouveau (Modern),landscape,1912
26741.jpg,46200eee40e22039aef7a5944bb445c9,"Church Am Steinhof, drawing of western window ",Art Nouveau (Modern),design,
87438.jpg,74a1dad53214d04514269a188f16683a,"Thun, Stockhornkette, evening",Art Nouveau (Modern),landscape,c.1912
88945.jpg,74a1dad53214d04514269a188f16683a,Valentine Gode Darel in hospital bed,Art Nouveau (Modern),portrait,1914
80950.jpg,46200eee40e22039aef7a5944bb445c9,Study of Portrait of Venus in the Grotto,Art Nouveau (Modern),sketch and study,c.1914
48541.jpg,46200eee40e22039aef7a5944bb445c9,"Church Am Steinhof, design for the east side windows",Art Nouveau (Modern),design,1905
9549.jpg,74a1dad53214d04514269a188f16683a,Girl at the Window,Art Nouveau (Modern),portrait,1890
49873.jpg,46200eee40e22039aef7a5944bb445c9,Mermaid,Art Nouveau (Modern),mythological painting,1914
38397.jpg,46200eee40e22039aef7a5944bb445c9,Self-Portrait with mermaid,Art Nouveau (Modern),self-portrait,1914
32754.jpg,74a1dad53214d04514269a188f16683a,Portrait of Berthe Jacques,Art Nouveau (Modern),portrait,1894
22515.jpg,74a1dad53214d04514269a188f16683a,The Orator,Art Nouveau (Modern),genre painting,c.1912
45969.jpg,74a1dad53214d04514269a188f16683a,"Thun, Stockhornkette, in clouds",Art Nouveau (Modern),landscape,c.1912
1211.jpg,74a1dad53214d04514269a188f16683a,"Thun, Stockhornkette",Art Nouveau (Modern),landscape,1910
34679.jpg,c8041306a183cbaf39ff8cd707c9cc7f,Months of year first page,Art Nouveau (Modern),illustration,1890.0
78338.jpg,46200eee40e22039aef7a5944bb445c9,Judith and Holofernes,Art Nouveau (Modern),religious painting,1916
40197.jpg,46200eee40e22039aef7a5944bb445c9,Dancer Miss Olga George,Art Nouveau (Modern),portrait,1911
271.jpg,74a1dad53214d04514269a188f16683a,Transfiguration,Art Nouveau (Modern),symbolic painting,c.1906
99522.jpg,46200eee40e22039aef7a5944bb445c9,Standing youth,Art Nouveau (Modern),nude painting (nu),c.1915
83567.jpg,46200eee40e22039aef7a5944bb445c9,"Vignettes for the catalog  Secessionausstellung, 1898",Art Nouveau (Modern),design,1898
34382.jpg,342d7068656b00878b23e1031a3ddf50,Portrait of Henrietta Girshman,Art Nouveau (Modern),portrait,1907.0
36041.jpg,46200eee40e22039aef7a5944bb445c9,Spring morning,Art Nouveau (Modern),allegorical painting,1896
45541.jpg,74a1dad53214d04514269a188f16683a,"Portrait study to ""Look into the infinity""",Art Nouveau (Modern),portrait,1916
76278.jpg,46200eee40e22039aef7a5944bb445c9,The light,Art Nouveau (Modern),symbolic painting,c.1914
65940.jpg,74a1dad53214d04514269a188f16683a,Cavalryman striding a horse ,Art Nouveau (Modern),sketch and study,1908
91301.jpg,74a1dad53214d04514269a188f16683a,The German students in the War of Liberation of 1813,Art Nouveau (Modern),genre painting,1908
51073.jpg,46200eee40e22039aef7a5944bb445c9,Envelope for the score to the opera Julius Bittner's opera 'The musician',Art Nouveau (Modern),design,1909
6977.jpg,74a1dad53214d04514269a188f16683a,"Thun, Stockhornkette",Art Nouveau (Modern),landscape,1904
35843.jpg,74a1dad53214d04514269a188f16683a,Thirteen standing draped figures,Art Nouveau (Modern),sketch and study,c.1913
80947.jpg,46200eee40e22039aef7a5944bb445c9,Wotan and Brunhilde,Art Nouveau (Modern),mythological painting,c.1915
55851.jpg,46200eee40e22039aef7a5944bb445c9,Kolo middle Dolomites,Art Nouveau (Modern),sketch and study,c.1912
65887.jpg,74a1dad53214d04514269a188f16683a,"Valentine Gode Darel, with disheveled hair",Art Nouveau (Modern),portrait,1913
74857.jpg,46200eee40e22039aef7a5944bb445c9,Female Nude with blue cloth,Art Nouveau (Modern),nude painting (nu),c.1913
53600.jpg,cd56f7f46b19cff44fb6700a3808ab9c,Self-portrait,Art Nouveau (Modern),self-portrait,
73923.jpg,46200eee40e22039aef7a5944bb445c9,Design for the anniversary card Korrespodenz (Vienna edition),Art Nouveau (Modern),design,1908
65103.jpg,46200eee40e22039aef7a5944bb445c9,Poster of five art exhibition of the Association of Austrian Artists of Secession,Art Nouveau (Modern),poster,1899
75013.jpg,d8a3c897c506be7de91d8f892f14f934,Les Gavroches  ,Art Nouveau (Modern),illustration,1893.0
36785.jpg,8aebe44d4fbb5ca859ddfe6260403e4a,The Lady of the Camellias,Art Nouveau (Modern),poster,1896
29159.jpg,46200eee40e22039aef7a5944bb445c9,Draft of furniture decoration for the bedroom of the apartment Eisler Terra Mare,Art Nouveau (Modern),design,1902
77110.jpg,74a1dad53214d04514269a188f16683a,Border woman figure in blue Gwand,Art Nouveau (Modern),portrait,1915
55861.jpg,46200eee40e22039aef7a5944bb445c9,Figure study to Mermaid,Art Nouveau (Modern),sketch and study,1914
7060.jpg,74a1dad53214d04514269a188f16683a,Standing female figure in a blue dress,Art Nouveau (Modern),portrait,c.1915
42265.jpg,46200eee40e22039aef7a5944bb445c9,Flowers,Art Nouveau (Modern),design,c.1904
11908.jpg,062244b785e58518f2f189329633c59e,"Sketch for the spectacle, The action of Theophile",Art Nouveau (Modern),design,1907.0
38493.jpg,46200eee40e22039aef7a5944bb445c9,"Holy Spirit Church in Düsseldorf, design for the entrance wall",Art Nouveau (Modern),design,1907
45108.jpg,46200eee40e22039aef7a5944bb445c9,"Holy Spirit Church in Düsseldorf, design for the choir wall",Art Nouveau (Modern),design,1907
57230.jpg,46200eee40e22039aef7a5944bb445c9,"Reproduction template for the leaf for Gerlach's love allegories. New Series, Plate 35",Art Nouveau (Modern),illustration,c.1895
51408.jpg,46200eee40e22039aef7a5944bb445c9,Stage design for 'The Phantom' of Hermann Bahr,Art Nouveau (Modern),design,1913
85069.jpg,46200eee40e22039aef7a5944bb445c9,Stage design for 'The Phantom' of Hermann Bahr,Art Nouveau (Modern),design,1913
20768.jpg,d8a3c897c506be7de91d8f892f14f934,Separation  ,Art Nouveau (Modern),illustration,1892.0
70020.jpg,46200eee40e22039aef7a5944bb445c9,Self-portrait,Art Nouveau (Modern),self-portrait,c.1914
67382.jpg,46200eee40e22039aef7a5944bb445c9,Poster for Fromme's Calendar,Art Nouveau (Modern),poster,1899
70063.jpg,74a1dad53214d04514269a188f16683a,The life of Weary,Art Nouveau (Modern),symbolic painting,1892
23239.jpg,74a1dad53214d04514269a188f16683a,Jenenser Student,Art Nouveau (Modern),genre painting,1908
2896.jpg,062244b785e58518f2f189329633c59e,"Sketch for the opera ""Legend of the Invisible City of Kitezh and Maiden Fevronia""  by Nikolai Rimsky-Korsakov ",Art Nouveau (Modern),design,1929.0
20445.jpg,7c98b429a2bb61258b16b080a91eb07a,Landscape ,Art Nouveau (Modern),landscape,1927.0
49444.jpg,baa3e6fec49e7eba24e23a8685c22955,A studio idyll. The artist's wife with daughter Suzanne,Art Nouveau (Modern),portrait,
73466.jpg,46200eee40e22039aef7a5944bb445c9,"Allegory of Ver Sacrum, sketch of illustration to Ver Sacrum, 101 1898, p.1",Art Nouveau (Modern),sketch and study,1897
88767.jpg,39c465a1d078121873a31807ce9dc2ed,Windows,Art Nouveau (Modern),design,
75187.jpg,d8a3c897c506be7de91d8f892f14f934,Sur L'Eau  ,Art Nouveau (Modern),illustration,1894.0
58564.jpg,342d7068656b00878b23e1031a3ddf50,The Rape of Europa ,Art Nouveau (Modern),mythological painting,1910.0
42415.jpg,062244b785e58518f2f189329633c59e,Illustration for Alexander Pushkin's 'Fairytale of the Tsar Saltan',Art Nouveau (Modern),illustration,
30945.jpg,74a1dad53214d04514269a188f16683a,Wetterhorn,Art Nouveau (Modern),landscape,c.1912
100830.jpg,74a1dad53214d04514269a188f16683a,The working mower,Art Nouveau (Modern),sketch and study,1909
68070.jpg,46200eee40e22039aef7a5944bb445c9,A crouching woman,Art Nouveau (Modern),sketch and study,c.1914
51496.jpg,baa3e6fec49e7eba24e23a8685c22955,In the Corner,Art Nouveau (Modern),interior,1894
27129.jpg,46200eee40e22039aef7a5944bb445c9,Ver Sacrum postcard nr. 12 I. Secessionausstellung  with greeting line of the art historian Julius von Schlosser,Art Nouveau (Modern),design,1898
51492.jpg,79bdcfa4ad167a9b9bc9bc9723d8e7e5,The cottage at the foot of the mountain ,Art Nouveau (Modern),landscape,1914.0
79528.jpg,79bdcfa4ad167a9b9bc9bc9723d8e7e5,Stugan vid bergets fot,Art Nouveau (Modern),landscape,
70787.jpg,8aebe44d4fbb5ca859ddfe6260403e4a,Fruit,Art Nouveau (Modern),allegorical painting,1897
24726.jpg,baa3e6fec49e7eba24e23a8685c22955,Flowers on the windowsill,Art Nouveau (Modern),interior,1894
11091.jpg,baa3e6fec49e7eba24e23a8685c22955,The Kitchen,Art Nouveau (Modern),genre painting,c.1898
38502.jpg,baa3e6fec49e7eba24e23a8685c22955,A Day of Celebration,Art Nouveau (Modern),genre painting,c.1895
58339.jpg,b874a616affcb766bb0e7a4f2a0803f0,New York Tribune,Art Nouveau (Modern),illustration,1916.0
57846.jpg,46200eee40e22039aef7a5944bb445c9,Poster for the XIII. Secession,Art Nouveau (Modern),poster,1902
9797.jpg,46200eee40e22039aef7a5944bb445c9,Hut in Leysin,Art Nouveau (Modern),sketch and study,1913
80265.jpg,baa3e6fec49e7eba24e23a8685c22955,Lisbeth fishing,Art Nouveau (Modern),genre painting,1898
39349.jpg,46200eee40e22039aef7a5944bb445c9,Young woman with hat,Art Nouveau (Modern),portrait,c.1913
102149.jpg,46200eee40e22039aef7a5944bb445c9,"Draft drawings for the breakfast room of the apartment Eisler Terramare, ladies desk chair with retractable",Art Nouveau (Modern),design,1903
83543.jpg,46200eee40e22039aef7a5944bb445c9,"Church Am Steinhof, drawing of the angel in the left side window",Art Nouveau (Modern),design,1905
32967.jpg,d8a3c897c506be7de91d8f892f14f934,Mothu et Doria Maitres de l'Affiche ,Art Nouveau (Modern),poster,1881.0
55897.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,Reine de Joie,Art Nouveau (Modern),poster,1892
28838.jpg,74a1dad53214d04514269a188f16683a,The wounded standard bearer Hans Baer,Art Nouveau (Modern),sketch and study,1896
93259.jpg,062244b785e58518f2f189329633c59e,"Illustration for the Tale of Prince Ivan, The Firebird and the Grey Wolf",Art Nouveau (Modern),illustration,1899.0
36741.jpg,062244b785e58518f2f189329633c59e,"Illustration for the Russian Fairy Story ""Feather Of Finist Falcon""",Art Nouveau (Modern),illustration,
90528.jpg,062244b785e58518f2f189329633c59e,"Illustration for the Russian Fairy Story ""Feather Of Finist Falcon""",Art Nouveau (Modern),illustration,
6821.jpg,062244b785e58518f2f189329633c59e,"Illustration for the Russian Fairy Story ""Feather Of Finist Falcon""",Art Nouveau (Modern),illustration,
19865.jpg,062244b785e58518f2f189329633c59e,"Illustration for the Russian Fairy Story ""Feather Of Finist Falcon""",Art Nouveau (Modern),illustration,
11195.jpg,062244b785e58518f2f189329633c59e,Illustration for the poem 'The Tale of the Golden Cockerel' by Alexander Pushkin ,Art Nouveau (Modern),illustration,
16725.jpg,062244b785e58518f2f189329633c59e,"Illustration for the fairy tale ""Vasilisa the Beautiful""",Art Nouveau (Modern),illustration,
12999.jpg,062244b785e58518f2f189329633c59e,"Illustration for the Russian Fairy Story ""Maria Morevna""",Art Nouveau (Modern),illustration,1900.0
47115.jpg,062244b785e58518f2f189329633c59e,"Illustration for the Russian Fairy Story ""Maria Morevna""",Art Nouveau (Modern),illustration,1900.0
21931.jpg,062244b785e58518f2f189329633c59e,"Illustration for the Tale of Prince Ivan, The Firebird and the Grey Wolf",Art Nouveau (Modern),illustration,1899.0
34053.jpg,062244b785e58518f2f189329633c59e,"Illustration for the fairy tale ""Vasilisa the Beautiful""",Art Nouveau (Modern),illustration,1900.0
32899.jpg,062244b785e58518f2f189329633c59e,"Illustration for the fairy tale ""Vasilisa the Beautiful""",Art Nouveau (Modern),illustration,1900.0
83949.jpg,062244b785e58518f2f189329633c59e,"Illustration for the Tale of Prince Ivan, The Firebird and the Grey Wolf",Art Nouveau (Modern),illustration,1899.0
88641.jpg,062244b785e58518f2f189329633c59e,"Illustration for the Russian Fairy Story ""Maria Morevna""",Art Nouveau (Modern),illustration,1900.0
54359.jpg,062244b785e58518f2f189329633c59e,"Illustration for the fairy tale ""Vasilisa the Beautiful""",Art Nouveau (Modern),illustration,1900.0
81691.jpg,062244b785e58518f2f189329633c59e,"Illustration for the Russian Fairy Story ""Maria Morevna""",Art Nouveau (Modern),illustration,1900.0
50050.jpg,062244b785e58518f2f189329633c59e,"Illustration for the Tale of Prince Ivan, The Firebird and the Grey Wolf",Art Nouveau (Modern),illustration,1899.0
59772.jpg,062244b785e58518f2f189329633c59e,"Illustration for the fairy tale ""Vasilisa the Beautiful""",Art Nouveau (Modern),illustration,1900.0
33627.jpg,062244b785e58518f2f189329633c59e,"Illustration for the Russian Fairy Story ""Maria Morevna""",Art Nouveau (Modern),illustration,1900.0
85118.jpg,46200eee40e22039aef7a5944bb445c9,Poster of the Beethoven sonatas evening,Art Nouveau (Modern),poster,1908
1244.jpg,74a1dad53214d04514269a188f16683a,Two swearing,Art Nouveau (Modern),sketch and study,c.1912
62283.jpg,74a1dad53214d04514269a188f16683a,Self portrait,Art Nouveau (Modern),self-portrait,1916
89358.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,Moulin Rouge La Goulue,Art Nouveau (Modern),poster,1891
60987.jpg,46200eee40e22039aef7a5944bb445c9,Daghestan rug design bubbles for Backhausen,Art Nouveau (Modern),design,1899
9089.jpg,74a1dad53214d04514269a188f16683a,Self portrait,Art Nouveau (Modern),self-portrait,1912
25623.jpg,062244b785e58518f2f189329633c59e,The Prince and the Frog,Art Nouveau (Modern),illustration,1900.0
57863.jpg,062244b785e58518f2f189329633c59e,"Illustration for the Russian Fairy Story ""Sister Alyonushka and brother Ivanushka""",Art Nouveau (Modern),illustration,1901.0
67366.jpg,062244b785e58518f2f189329633c59e,"Illustration for the Russian Fairy Story ""White duck""",Art Nouveau (Modern),illustration,1902.0
1666.jpg,062244b785e58518f2f189329633c59e,"Illustration for the Russian Fairy Story ""The Frog Princess""",Art Nouveau (Modern),illustration,1901.0
30943.jpg,150ef565e5793bd8dd5bac4fdb23b894,La criolla del mantón,Art Nouveau (Modern),,1915.0
14184.jpg,9a85697fd693e11f87846ebc70c00227,Farm Garden with Crucifix,Art Nouveau (Modern),landscape,1912
46862.jpg,9a85697fd693e11f87846ebc70c00227,Flower Garden,Art Nouveau (Modern),landscape,1907
69949.jpg,062244b785e58518f2f189329633c59e,"Illustration for the Russian Fairy Story ""Feather Of Finist Falcon""",Art Nouveau (Modern),illustration,
52646.jpg,062244b785e58518f2f189329633c59e,"Illustration for the Tale of Prince Ivan, The Firebird and the Grey Wolf",Art Nouveau (Modern),illustration,1899.0
80589.jpg,062244b785e58518f2f189329633c59e,"Illustration for the Russian Fairy Story ""The Frog Princess""",Art Nouveau (Modern),illustration,1899.0
101420.jpg,062244b785e58518f2f189329633c59e,"Illustration for the Tale of Prince Ivan, The Firebird and the Grey Wolf",Art Nouveau (Modern),illustration,1899.0
89588.jpg,062244b785e58518f2f189329633c59e,"Illustration for the Russian Fairy Story ""Sister Alyonushka and brother Ivanushka""",Art Nouveau (Modern),illustration,1901.0
47535.jpg,062244b785e58518f2f189329633c59e,"Illustration for the Russian Fairy Story ""The Frog Princess""",Art Nouveau (Modern),illustration,
86207.jpg,062244b785e58518f2f189329633c59e,"Illustration for the Russian Fairy Story ""Maria Morevna""",Art Nouveau (Modern),illustration,1900.0
36089.jpg,062244b785e58518f2f189329633c59e,"Illustration for the Russian Fairy Story ""White duck""",Art Nouveau (Modern),illustration,1902.0
24657.jpg,062244b785e58518f2f189329633c59e,"Illustration for the fairy tale ""Vasilisa the Beautiful""",Art Nouveau (Modern),illustration,
50350.jpg,062244b785e58518f2f189329633c59e,"Illustration for the fairy tale ""Vasilisa the Beautiful""",Art Nouveau (Modern),illustration,
80639.jpg,062244b785e58518f2f189329633c59e,"Illustration for the Russian Fairy Story ""The Frog Princess""",Art Nouveau (Modern),illustration,1901.0
62756.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,Jane Avril Dancing,Art Nouveau (Modern),genre painting,1893
2089.jpg,79bdcfa4ad167a9b9bc9bc9723d8e7e5,Freja ,Art Nouveau (Modern),mythological painting,1905.0
3205.jpg,d8a3c897c506be7de91d8f892f14f934,Cats,Art Nouveau (Modern),animal painting,1910.0
68372.jpg,74a1dad53214d04514269a188f16683a,Unity,Art Nouveau (Modern),symbolic painting,c.1913
24054.jpg,74a1dad53214d04514269a188f16683a,Swearing to the right,Art Nouveau (Modern),sketch and study,c.1912
4153.jpg,9a85697fd693e11f87846ebc70c00227,The dancer,Art Nouveau (Modern),portrait,1918
89577.jpg,74a1dad53214d04514269a188f16683a,Dying Warrior,Art Nouveau (Modern),sketch and study,c.1897
43341.jpg,46200eee40e22039aef7a5944bb445c9,Iris. Illustration to a poem by Arno Holz.,Art Nouveau (Modern),illustration,1898
58880.jpg,46200eee40e22039aef7a5944bb445c9,Fabric design with trout dance for Backhausen,Art Nouveau (Modern),design,1899
94579.jpg,cd56f7f46b19cff44fb6700a3808ab9c,Spring ,Art Nouveau (Modern),genre painting,1894.0
49643.jpg,46200eee40e22039aef7a5944bb445c9,"Holy Spirit Church in Düsseldorf, design for the left side wall",Art Nouveau (Modern),design,1907
101455.jpg,baa3e6fec49e7eba24e23a8685c22955,Cosy Corner,Art Nouveau (Modern),interior,1894
23540.jpg,46200eee40e22039aef7a5944bb445c9,Danube waves,Art Nouveau (Modern),design,1901
50374.jpg,9a85697fd693e11f87846ebc70c00227,The Beethoven Frieze: The Hostile Powers. Far Wall,Art Nouveau (Modern),allegorical painting,1902
35275.jpg,6460e3ba02dfa3b57ebf5d3d0823aa47,Yvette Guilbert,Art Nouveau (Modern),portrait,1894
74537.jpg,8aebe44d4fbb5ca859ddfe6260403e4a,Champagne Printer Publisher,Art Nouveau (Modern),portrait,1897
44333.jpg,79bdcfa4ad167a9b9bc9bc9723d8e7e5,Julnatten,Art Nouveau (Modern),illustration,
94525.jpg,4a30943bf6dd5da55d12ccd14aaff0d8,Portrait de Gabrielle Vallotton,Art Nouveau (Modern),portrait,1908
80535.jpg,d8a3c897c506be7de91d8f892f14f934,Mai 1871  ,Art Nouveau (Modern),illustration,1894.0
48139.jpg,74a1dad53214d04514269a188f16683a,The Halberdier,Art Nouveau (Modern),sketch and study,1895
97171.jpg,46200eee40e22039aef7a5944bb445c9,"Am Steinhof Church, Design for the right side altar Guardian Angel",Art Nouveau (Modern),design,1904
53503.jpg,d8a3c897c506be7de91d8f892f14f934,Tour of Rodolphe Salis' Chat Noir,Art Nouveau (Modern),poster,1896.0
50315.jpg,46200eee40e22039aef7a5944bb445c9,The Rax,Art Nouveau (Modern),landscape,c.1912
