filename,artist,title,style,genre,date
99442.jpg,d09f796f2b0aa11dffc88badd9806119,Storm at sea,Romanticism,marina,1873
7486.jpg,83e9823eb4868ca162fd3b7adff70096,Death of Eleazer,Romanticism,religious painting,1866
35766.jpg,83e9823eb4868ca162fd3b7adff70096,The-Deluge,Romanticism,religious painting,
56906.jpg,3a320926ef941d53716127548523450c,The Fighting Temeraire tugged to her last berth to be broken up,Romanticism,marina,1839
81750.jpg,d09f796f2b0aa11dffc88badd9806119,The Ninth Wave,Romanticism,marina,1850
75895.jpg,74a1dad53214d04514269a188f16683a,Self-portrait with stand,Romanticism,self-portrait,1879
71952.jpg,5d6136636d3015e201f6096d67c89860,The cemetery in Gastein,Romanticism,landscape,1898
7020.jpg,5d6136636d3015e201f6096d67c89860,The Spittler in Nuremberg,Romanticism,cityscape,1856
3732.jpg,b3bba0de2a501bc4755d110916803ccb,In the Bay of Naples,Romanticism,genre painting,
62387.jpg,97495fb4212d9449d61c6d9fc3e6cc04,Rustic life ,Romanticism,genre painting,1887.0
22404.jpg,0aa40001869bf1e86a1bdae741f79220,Portrait of a young lady,Romanticism,portrait,1906
41164.jpg,f2e0bf35d07f3e838e2ff40956032ed3,"A Minatarre or Big bellied indian, plate 17 from Volume 2 of 'Travels in the Interior of North America'",Romanticism,portrait,1843
45523.jpg,74a1dad53214d04514269a188f16683a,A morning in Interlaken,Romanticism,landscape,1875
62013.jpg,f2e0bf35d07f3e838e2ff40956032ed3,"The Interior of a Hut of a Mandan Chief, plate 19 from Volume 2 of 'Travels in the Interior of North America'",Romanticism,interior,1844
95342.jpg,f2e0bf35d07f3e838e2ff40956032ed3,"Buffalo-Dance of the Mandan Indians in front of their Medicine Lodge in Mih-Tutta-Hankush, plate 18 from Volume 2 of 'Travels in the Interior of North America'",Romanticism,genre painting,1843
50480.jpg,f2e0bf35d07f3e838e2ff40956032ed3,"A Missouri Indian, an Oto Indian and the Chief of the Puncas, plate 7 from 'Travels in the Interior of North America'",Romanticism,portrait,1844
